,CD3_T_cell-week1,Kupffer_cell_(Liver_resident_macrophage)-week1,Monocytes-derived_Macrophage-week1,Tregs-week1,cDC1-week1,B_cell-week1,CD4+_T_cell-week1,CD8+_T_cell-week1,Cholangiocyte-week1,Endothelial_cell-week1,Hepatic_stellate_cell-week1,Liver_sinusoid_endothelial_cell(LSECs)-week1,Mast_cell-week1,NK_cell-week1,pDC-week1,γδ_T_cell-week1,CD3_T_cell-week2,Kupffer_cell_(Liver_resident_macrophage)-week2,Monocytes-derived_Macrophage-week2,Tregs-week2,cDC1-week2,B_cell-week2,CD4+_T_cell-week2,CD8+_T_cell-week2,Cholangiocyte-week2,Endothelial_cell-week2,Hepatic_stellate_cell-week2,Liver_sinusoid_endothelial_cell(LSECs)-week2,Mast_cell-week2,NK_cell-week2,pDC-week2,γδ_T_cell-week2,CD3_T_cell-week4,Kupffer_cell_(Liver_resident_macrophage)-week4,Monocytes-derived_Macrophage-week4,Tregs-week4,cDC1-week4,B_cell-week4,CD4+_T_cell-week4,CD8+_T_cell-week4,Cholangiocyte-week4,Endothelial_cell-week4,Hepatic_stellate_cell-week4,Liver_sinusoid_endothelial_cell(LSECs)-week4,Mast_cell-week4,NK_cell-week4,pDC-week4,γδ_T_cell-week4,CD3_T_cell-week8,Kupffer_cell_(Liver_resident_macrophage)-week8,Monocytes-derived_Macrophage-week8,Tregs-week8,cDC1-week8,B_cell-week8,CD4+_T_cell-week8,CD8+_T_cell-week8,Cholangiocyte-week8,Endothelial_cell-week8,Hepatic_stellate_cell-week8,Liver_sinusoid_endothelial_cell(LSECs)-week8,Mast_cell-week8,NK_cell-week8,pDC-week8,γδ_T_cell-week8,CD3_T_cell-week12,Kupffer_cell_(Liver_resident_macrophage)-week12,Monocytes-derived_Macrophage-week12,Tregs-week12,cDC1-week12,B_cell-week12,CD4+_T_cell-week12,CD8+_T_cell-week12,Cholangiocyte-week12,Endothelial_cell-week12,Hepatic_stellate_cell-week12,Liver_sinusoid_endothelial_cell(LSECs)-week12,Mast_cell-week12,NK_cell-week12,pDC-week12,γδ_T_cell-week12
CD3_T_cell-week1,0.0,0.6041190683062616,0.9324647617712871,0.46286324489650843,1.3213941374759157,0.4926160190871587,0.6977070787512765,1.1403729651766281,0.815464575220338,0.48910731620760384,0.8930409142357771,1.3138157209860504,0.6728226734124457,0.5926709371814985,1.0372536269350323,1.0088838640283058,0.7384445728635751,0.8756548675315821,0.5513620953635118,1.1217203725826073,1.3542967765478502,0.8695687814986525,0.8347752284753209,0.6940580122895419,0.7263011515892949,0.5682774685216367,0.9197257380941273,0.952194434440289,0.6570827411434117,0.5713229318354293,0.7912394763058073,0.8276209551680356,0.7601098327847037,0.5874319071903251,0.838767411095387,0.643494740960933,0.9092121546413228,1.0157807516605266,0.7398288606284904,0.8681947043929086,1.0687631504807353,0.6106794599837368,0.6487762928430278,0.9503647494058103,0.9021812445361338,0.7153619717527385,0.8094858798447041,0.8219263097393327,0.6661172416542344,0.7642366889107519,0.8193274408213571,0.6560422705997246,1.2854710028012557,0.8887685703082631,0.7955321371222019,0.38129985861841176,0.9427000975231677,1.0221999505277453,0.9864734366590312,0.8276844698930272,1.1316791059733458,1.0784609809474401,1.057532441870934,0.8853943443334491,0.7136599566511818,0.5742282107615841,0.7159880608347238,0.9499445806051652,1.000750002865465,0.3991113266465238,0.9750095446597321,0.9147988662198383,0.9338034365083845,0.78667850135237,0.7046726789881157,0.9411294094308427,0.8124354953366199,0.41023162206083075,0.643931251096886,0.7656333125678886
Kupffer_cell_(Liver_resident_macrophage)-week1,0.6041190683062616,0.0,1.1598457629112204,0.637006811053114,0.9192040021988843,0.37003649432071894,0.40653660781314305,0.9616756911067175,1.1262534011417067,0.49767460464509405,0.6746928380652721,0.7901369248076082,0.7863302428214878,0.6555484888611459,0.8556198640904696,1.1805117915639896,0.5688815402840671,0.8304219692732332,0.5774852331950695,1.0202641980111147,0.8390971008502944,0.5867027606654229,0.5406917215098135,0.4315064807901975,0.46865355088309524,0.5985432385409482,0.575770151070615,1.0509493830880112,0.4092715843722111,0.8463428288091852,0.5413336008455037,0.5184347348226159,0.7237584717424194,0.6285039658060942,0.680079102532497,0.7783981951457127,0.47406241795722137,0.8471819733577854,0.388964716401596,0.919091483786863,0.8352630083470515,0.699028132943506,0.5191685867847046,0.9143332987784238,0.9061206101396309,0.560200005519313,0.5737507809005284,0.5461400972290901,1.06134482468684,0.6090845050258207,0.20898447795999975,0.42988661027674735,0.7195869192441615,0.6217453674320346,0.7798792321083337,0.5497596051404012,0.5436893113994374,0.7160945840846066,0.5738707354722274,0.7435804350569395,1.427040016807662,0.7529258585296732,0.6317445890997504,0.6902884479638973,0.5394814559624685,0.2130273574992173,0.5058674663178382,0.8719480496273369,0.738419272644619,0.36643582579389755,0.5588856820675595,0.605691998285254,1.1419188494978532,0.6002226116117795,0.6693842348596202,0.8942707994631255,0.85438458456547,0.5943633970040985,0.3675720671885633,0.5243611180079232
Monocytes-derived_Macrophage-week1,0.9324647617712871,1.1598457629112204,0.0,0.8757936699940299,0.897762440253763,1.1830788518041133,0.9049762549001592,0.7865185196903424,0.8743746053431322,1.453651946114147,0.8002830395425121,1.275539865203044,0.7960519767372642,0.990170114767697,1.068145407415006,1.1156614305945645,0.8535396956316308,1.3346887530138913,0.5992612937579362,0.9259754250410198,1.2365139990325402,0.9569061459435559,1.1438701197708283,0.9641735690525288,0.849242566774832,0.9259170556720964,1.185838529603597,0.9336808898308406,0.6969792331943051,0.7038786752397221,1.0437237681898632,0.9422926901598424,0.636841119537122,0.8888441374270718,1.3199054074895669,0.48028065407679543,0.8117735056066797,1.0640839677529816,1.12101468464036,1.0647153816476496,0.938321137943473,1.0542387619860079,1.1410601406624157,1.1261891120066743,0.9173693330131156,1.4025300921236818,0.8441597931855,1.40792778455066,0.875635351140784,1.277428101654801,1.14528332841984,0.7433459163383056,0.8600038073480376,1.2230177919165137,0.9994582005583288,0.7521115426586118,0.9368111060423089,1.0615182373630374,0.9311188487729034,1.0082446322630756,0.9786250227169021,0.7964494865381914,0.8170129692055208,1.1724136466736708,1.0519195362868838,1.1224521724707577,1.153247480590216,1.019295271472014,1.0025678669420741,1.064432876882938,1.2358850543036202,0.8224557228210371,0.6605168264765164,0.6052924160317339,0.9896187065084493,0.6255732241749339,1.2302338377275759,1.0753750479377218,1.2620741035354148,0.9634457834872973
Tregs-week1,0.46286324489650843,0.637006811053114,0.8757936699940299,0.0,0.7718634884361586,0.35895620375509785,0.6604209036735901,1.1951681479648308,0.6002882631787272,0.6503984667442462,0.9135134206350315,0.9505834862385526,0.30190106257016425,0.6853847749570707,0.8289094661150062,0.8855904963653913,0.5497177782646596,0.8049551102186516,0.590239327253632,0.7235335144369852,1.0026662215404438,0.8333779019507138,0.6180124462441308,0.5260452509073503,0.58951927773356,0.36345742759195154,0.9403892535250677,0.8214668055126153,0.7549564402293082,0.5755867943061403,0.6937676623067641,0.6463241780696299,0.4212150268419943,0.37734071333849317,1.2436495867104378,0.5538502865959847,0.6884642578483506,0.9754851341398285,0.6964825072866434,0.7591585855176073,0.7313712075943481,0.7151825792731181,0.5214555514429948,0.7292286283848318,1.019030209837909,0.7101309990912235,0.876651975379661,0.5353180742750873,1.1684034539651602,0.7397540984741513,0.5385207395561789,0.6539093565989653,1.2249661840989805,0.7430182841476889,0.7342866313085636,0.4524428905147242,0.9320569940327755,0.7758099134249112,0.8848789210233347,0.5240064389680756,0.7831113428695841,0.6966015123433486,0.6751359685257701,0.8037424489060482,1.181224507441439,0.571486568083065,0.5825857252030783,0.9001428392306744,0.9994385965584792,0.6020889160804962,0.9875872453287673,0.5239059617270246,0.4748083229404504,0.388996564136462,0.636383942842049,0.6524895005251723,0.7115670198645248,0.34892709178659864,0.7427574040882521,0.39890014056933176
cDC1-week1,1.3213941374759157,0.9192040021988843,0.897762440253763,0.7718634884361586,0.0,0.6491212033798895,0.8720222021771844,1.0872464896364034,0.8710357199023618,1.018533191552042,0.9197761359503506,0.6841317744571043,0.5829946621227036,0.9093526623638717,0.6446301726450594,0.6626022756738682,0.7934762211506243,0.9522452373746549,0.9942149464742758,0.4659903193034528,0.7004666592645301,0.6463374040063186,0.5817688598974557,0.6440477588645988,0.482068212349418,0.7163704818741123,1.172712753953242,0.9647032318879805,0.8448804110472952,0.8440634796497977,0.8364398312615915,0.5315286167447437,0.5207159895114993,0.5458134179042972,0.9863915237253105,0.6242140179557226,0.6044742377160379,0.7091663365354521,0.6811052654259284,0.9830827022985917,0.6570359812657869,0.7651338048776246,0.7331775740670214,0.7742587815980936,1.1670447414278995,1.0771823465668517,0.8697769774849127,0.7069546002706237,1.0231165396622128,0.9064676036833584,0.528660703557472,0.8513490018438479,0.8033018392044377,0.9108710382961197,0.4610113149967382,0.8991867423101042,0.7921879890964723,0.8445175934357484,0.9113388752399012,0.6125875325634713,0.7903942312908834,0.3980229569988538,0.9924089453734625,0.7525542681448734,1.2454753072521676,1.014912747397965,0.861041557411428,0.9708824674845011,0.9742456272812812,0.8932929480756294,0.8450678622524477,0.5836001459078011,0.8281452550392188,0.6700604847012056,0.5555541584704653,0.7271435894954452,0.7129820403382547,0.7866219152947929,1.0573793050945444,0.5820716840452966
B_cell-week1,0.4926160190871587,0.37003649432071894,1.1830788518041133,0.35895620375509785,0.6491212033798895,0.0,0.3928553567965629,1.1444354558854537,0.8024305628541629,0.3013481149396976,0.7050178476244542,0.5256834659384956,0.3244303819461648,0.5397603040206658,0.5369436606972688,0.7939011101592155,0.48556936451810584,0.5981450451706373,0.629773486638057,0.6480703656870541,0.8009362089475042,0.4342981712948205,0.33681770611551576,0.36540085640002484,0.36382306777665885,0.3463975835851273,0.6621977211858364,1.0131209819999893,0.6420988441530531,0.49523352505491636,0.39545487982930927,0.26787932817870186,0.45511647987259896,0.3258167673214297,0.5639171265581651,0.5849140614786845,0.5883648022296901,0.7008320717045015,0.3470012840251452,0.772441781576093,0.5862886717695618,0.4329433360062097,0.41809248889642814,0.6786092804505732,0.761024193240623,0.4987924712458558,0.4844525505603968,0.4066859778924219,1.0009568642666484,0.3655518488241676,0.29308474567986753,0.6640449304396971,0.9931125107343094,0.6058178090868998,0.38187288227008964,0.33499503794030216,0.8686981645709321,0.4299248780617172,0.6128452361365639,0.5871073234982767,1.0418969797201885,0.4966813527634998,1.0271876865101932,0.5092722834944874,0.6621578353764261,0.37185302541965515,0.3957882859498588,0.710660602864446,0.7191984109742015,0.298777327073084,0.542008236646041,0.4974387223121196,0.7909146819075552,0.5552471607400133,0.5034629244068995,0.6445966091339386,0.5324253505128622,0.3572558035802035,0.3388283521207578,0.35135950432706853
CD4+_T_cell-week1,0.6977070787512765,0.40653660781314305,0.9049762549001592,0.6604209036735901,0.8720222021771844,0.3928553567965629,0.0,1.0400363309523015,0.9262642249640339,0.6673763553321898,0.4104208850330635,0.5429054451367781,0.5056800199041145,0.7763395865584718,0.6571398526300862,0.915788879899871,0.46937619231724736,0.745605698229992,0.41182170583094246,0.7794730229163053,0.883531155071167,0.44804187178454014,0.4317267598373219,0.33691030806666034,0.44919981947745136,0.6922466338173252,0.7374903356652585,0.675746542025782,0.7465502520081593,0.6850506130369012,0.23778155275376167,0.34570125084035996,0.631432200247008,0.5066085493223906,0.7453667334426765,0.7289706979143813,0.46494204405609896,0.6408828788623037,0.5355128960969953,0.8913510540187879,0.46694725476540455,0.801487602558721,0.8524447685910517,1.1179351788883463,0.5719405381245134,0.45585772117365597,0.4163908612584446,0.6144959880552818,1.1005491122964415,0.7050795620378522,0.40260336184469725,0.3264384373352237,1.0967667812881583,0.7180197978200905,0.5479447739183021,0.4121859781765601,0.4722583109946893,0.5087453379491358,0.5146089503953171,0.7231630745298849,1.1046310064827296,0.8261121710728951,0.7152210931329162,0.311389566859244,0.46745676483268717,0.39654052987780364,0.5036014037938261,0.6227774060233187,0.8265987057446895,0.3886602354618617,0.5743232674006229,0.3872894533293887,0.7355286350721606,0.8489339974943486,0.5386594162091769,0.7849468020923304,0.789871336450105,0.5199451274810777,0.4247426150151722,0.4267394866894172
CD8+_T_cell-week1,1.1403729651766281,0.9616756911067175,0.7865185196903424,1.1951681479648308,1.0872464896364034,1.1444354558854537,1.0400363309523015,0.0,0.8249325399159835,1.2699803411349329,1.1921134837165168,0.9389410240349313,0.884567960100106,0.7628347354154256,0.9009708895440177,1.175955625033619,0.734758627102367,0.8160088997568941,0.8312644888582865,1.3061773388327282,1.3548628833885163,0.6081946197793435,0.8767795527444461,0.7708665840619122,0.9264135271635098,0.9348548678345411,0.8243189644259784,0.838989376840895,0.4991382945516992,0.8072777698961345,0.8169894505230613,1.012610196331905,0.9246768289171969,1.072469164010459,0.6817391675855253,1.1513704938841,0.7028283326912659,0.6998799836994616,0.7149793234267127,0.6196070744848872,1.0122485611691,0.992384052386853,1.4246034946101198,0.9928916153711516,0.7760032299298105,0.8838474025403226,0.8285548241521888,1.2283126319427948,0.5868074180962486,1.1295456015731653,0.8404329080749122,1.0429130922730123,0.7926238497763803,0.8725707694244573,1.4875931059643523,1.0632460302830835,0.6564461773898296,1.0121609653512156,0.7677778918191885,1.333107141102047,1.455820049711264,1.0168701756785006,0.8208049404016413,1.0787017694827339,0.831749751801413,0.9335366830459914,1.0164295067969704,0.8829806818420143,0.7321072305786009,0.9433602512860183,0.8332542257951341,0.8998074418620612,1.003649256610801,0.7944399974362865,0.984163913821938,0.949971186666648,0.9946787395391288,1.2651956710031356,0.67364793604333,0.7562963504425889
Cholangiocyte-week1,0.815464575220338,1.1262534011417067,0.8743746053431322,0.6002882631787272,0.8710357199023618,0.8024305628541629,0.9262642249640339,0.8249325399159835,0.0,1.0963077441751117,1.0194580730490368,1.086801165110791,0.5730227337202127,0.6107565244685882,0.9565725572217626,0.9647729063027065,0.8576056286411218,0.5334945076066631,0.7706858352084351,0.8719050062749896,1.103790877522183,0.8323750024205132,0.8723485967050053,0.7465563650152485,0.6300257695878553,0.49757939742878576,0.9460943691582953,0.5776496301136285,1.0050893067718905,0.6968858838976115,0.639423342040485,0.8068535050197616,0.7318170477500718,0.6530113084044331,1.0653178145645024,1.0230419016371517,0.801164359295203,0.5170285601808027,0.8255313598734517,0.6921587346093987,0.8869523292671064,0.7537864522735326,1.0578647553912661,0.9103571506360436,1.0454934899121808,0.8571391053438064,0.9403066494095412,0.6677325544650726,0.9124324654950351,0.6688566072918256,0.897953123291294,1.0922297415626756,1.3331297852480586,0.5172335862311894,0.8176279290639462,0.7192818837682715,0.943887237321271,0.8314931103140311,0.9348425948569415,0.9475991527039193,0.5314559998047956,0.762076493631968,1.1966330102305855,0.8342837887673498,1.178071382165868,1.0263788652238126,0.6211601713981847,0.9101429048285771,1.2557026023699167,0.7667668415991967,1.0164263424996598,0.7033634961999131,0.6310053234654606,0.7230573151738209,0.8757267175015533,1.3415631145814237,0.6789668199561767,0.8056582045923802,0.9350018731540718,0.8013349559028831
Endothelial_cell-week1,0.48910731620760384,0.49767460464509405,1.453651946114147,0.6503984667442462,1.018533191552042,0.3013481149396976,0.6673763553321898,1.2699803411349329,1.0963077441751117,0.0,0.8418260888444775,0.8404649973904321,0.7339762645573299,0.557121834159344,0.9112879605926465,0.8020715610514773,0.9206668624904559,0.9152583144086782,0.6488322428750078,0.6467067002650799,1.0433772326927808,0.9375071134254195,0.8214181980384677,0.7922276409301419,0.7323686564886295,0.7267693146022519,0.9432578057473763,1.1340384239409738,0.8204769286500647,0.8825677058340857,0.721299034085141,0.6224900911039083,0.8403327804835787,0.7193163331142878,0.41793556775342755,1.0329353675797777,0.9677752869974091,1.023614453766173,0.5740623275375851,0.9800885111970637,0.9126919751081235,0.7303800482383203,0.5454699273320192,0.5138829765487654,0.7898225038449688,0.4022764270934347,0.652555365440668,0.7455166867278902,1.1669977085509124,0.5041192032039035,0.7201454461904262,0.8220870775562636,0.9547524030766594,0.6403357096016884,0.6929842923023721,0.5938061764828919,0.9704139445761711,0.9285886655539579,0.7914560820570957,0.6580595079384467,1.2342003620361306,0.915313216705762,1.147789732333846,0.6818636270523373,0.6893839978761231,0.4428503803611089,0.6311239871248324,1.1556216740462377,0.9995867229334889,0.527503567659829,0.6144821184605251,0.7990694059197125,1.2648005193280079,0.9521050543603378,0.6590448888277822,0.8653595157455294,0.801903576406277,0.451611421025107,0.628097943887928,0.8410094863741667
